,landing_page,purchased,inter,old_page
382,new_page,1,1,0
383,old_page,0,1,1
384,new_page,0,1,0
385,old_page,0,1,1
386,old_page,0,1,1
387,new_page,0,1,0
388,old_page,1,1,1
389,old_page,1,1,1
390,old_page,0,1,1
391,new_page,0,1,0
392,old_page,0,1,1
393,new_page,0,1,0
394,new_page,0,1,0
395,old_page,0,1,1
396,new_page,0,1,0
397,old_page,0,1,1
398,new_page,0,1,0
399,new_page,0,1,0
400,old_page,0,1,1
401,new_page,0,1,0
402,new_page,0,1,0
403,old_page,0,1,1
404,old_page,0,1,1
405,new_page,1,1,0
406,new_page,0,1,0
407,new_page,0,1,0
408,old_page,0,1,1
409,new_page,1,1,0
410,new_page,0,1,0
411,new_page,0,1,0
412,new_page,0,1,0
413,new_page,0,1,0
414,new_page,0,1,0
415,new_page,0,1,0
416,old_page,1,1,1
417,old_page,0,1,1
418,old_page,0,1,1
419,new_page,0,1,0
420,new_page,0,1,0
421,old_page,0,1,1
422,old_page,0,1,1
423,new_page,0,1,0
424,new_page,1,1,0
425,new_page,0,1,0
426,old_page,0,1,1
427,old_page,0,1,1
428,new_page,0,1,0
429,old_page,0,1,1
430,new_page,0,1,0
431,old_page,0,1,1
432,old_page,0,1,1
433,old_page,1,1,1
434,old_page,0,1,1
435,old_page,0,1,1
436,new_page,1,1,0
437,old_page,1,1,1
438,new_page,0,1,0
439,new_page,0,1,0
440,new_page,0,1,0
441,old_page,0,1,1
442,new_page,0,1,0
443,old_page,0,1,1
444,old_page,0,1,1
445,new_page,1,1,0
446,new_page,1,1,0
447,old_page,0,1,1
448,new_page,0,1,0
449,old_page,0,1,1
450,new_page,0,1,0
451,new_page,0,1,0
452,old_page,0,1,1
453,new_page,0,1,0
454,old_page,1,1,1
455,old_page,0,1,1
456,old_page,1,1,1
457,new_page,0,1,0
458,new_page,0,1,0
459,old_page,0,1,1
460,old_page,0,1,1
461,old_page,0,1,1
462,old_page,0,1,1
463,old_page,0,1,1
464,old_page,0,1,1
465,new_page,0,1,0
466,new_page,0,1,0
467,new_page,0,1,0
468,old_page,0,1,1
469,old_page,1,1,1
470,old_page,0,1,1
471,new_page,0,1,0
472,new_page,1,1,0
473,new_page,0,1,0
474,old_page,1,1,1
475,old_page,0,1,1
476,old_page,0,1,1
477,old_page,0,1,1
478,new_page,0,1,0
479,old_page,0,1,1
480,old_page,1,1,1
481,new_page,0,1,0
482,new_page,0,1,0
483,new_page,1,1,0
484,old_page,0,1,1
485,new_page,0,1,0
486,new_page,0,1,0
487,new_page,0,1,0
488,old_page,0,1,1
489,old_page,1,1,1
490,new_page,0,1,0
491,new_page,0,1,0
492,old_page,0,1,1
493,old_page,0,1,1
494,new_page,0,1,0
495,new_page,1,1,0
496,old_page,0,1,1
497,new_page,0,1,0
498,old_page,1,1,1
499,new_page,0,1,0
500,new_page,0,1,0
501,new_page,0,1,0
502,new_page,0,1,0
503,old_page,1,1,1
504,old_page,0,1,1
505,old_page,0,1,1
506,new_page,0,1,0
507,new_page,0,1,0
508,old_page,0,1,1
509,old_page,0,1,1
510,new_page,1,1,0
511,old_page,0,1,1
512,old_page,0,1,1
513,old_page,0,1,1
514,old_page,1,1,1
515,new_page,0,1,0
516,new_page,1,1,0
517,new_page,0,1,0
518,old_page,1,1,1
519,new_page,0,1,0
520,old_page,0,1,1
521,old_page,0,1,1
522,new_page,1,1,0
523,old_page,1,1,1
524,old_page,1,1,1
525,new_page,0,1,0
526,old_page,1,1,1
527,old_page,0,1,1
528,new_page,0,1,0
529,new_page,1,1,0
530,old_page,1,1,1
531,new_page,1,1,0
532,new_page,0,1,0
533,old_page,0,1,1
534,new_page,0,1,0
535,old_page,0,1,1
536,old_page,0,1,1
537,old_page,0,1,1
538,old_page,0,1,1
539,new_page,0,1,0
540,old_page,0,1,1
541,new_page,0,1,0
542,old_page,0,1,1
543,old_page,0,1,1
544,old_page,0,1,1
545,old_page,0,1,1
546,old_page,0,1,1
547,old_page,1,1,1
548,new_page,0,1,0
549,old_page,0,1,1
550,new_page,0,1,0
551,new_page,0,1,0
552,old_page,0,1,1
553,old_page,0,1,1
554,old_page,0,1,1
555,new_page,0,1,0
556,new_page,0,1,0
557,old_page,0,1,1
558,old_page,0,1,1
559,old_page,0,1,1
560,new_page,1,1,0
561,old_page,0,1,1
562,old_page,0,1,1
563,new_page,0,1,0
564,old_page,0,1,1
565,old_page,0,1,1
566,old_page,0,1,1
567,old_page,1,1,1
568,old_page,1,1,1
569,old_page,0,1,1
570,old_page,1,1,1
571,new_page,0,1,0
572,new_page,1,1,0
573,old_page,1,1,1
574,old_page,0,1,1
575,old_page,0,1,1
576,new_page,0,1,0
577,old_page,0,1,1
578,old_page,0,1,1
579,new_page,1,1,0
580,old_page,1,1,1
581,old_page,0,1,1
582,new_page,0,1,0
583,old_page,1,1,1
584,new_page,0,1,0
585,old_page,0,1,1
586,new_page,1,1,0
587,new_page,0,1,0
588,new_page,0,1,0
589,old_page,0,1,1
590,new_page,1,1,0
591,old_page,0,1,1
592,old_page,1,1,1
593,new_page,0,1,0
594,new_page,0,1,0
595,old_page,0,1,1
596,old_page,0,1,1
597,old_page,0,1,1
598,old_page,0,1,1
599,old_page,0,1,1
600,new_page,1,1,0
601,old_page,1,1,1
602,old_page,1,1,1
603,old_page,1,1,1
604,old_page,0,1,1
605,new_page,0,1,0
606,old_page,0,1,1
607,new_page,0,1,0
608,new_page,0,1,0
609,old_page,1,1,1
610,new_page,0,1,0
611,old_page,0,1,1
612,old_page,1,1,1
613,new_page,0,1,0
614,old_page,0,1,1
615,old_page,0,1,1
616,new_page,1,1,0
617,old_page,0,1,1
618,new_page,1,1,0
619,new_page,0,1,0
620,new_page,0,1,0
621,new_page,0,1,0
622,new_page,1,1,0
623,old_page,0,1,1
624,old_page,0,1,1
625,new_page,0,1,0
626,old_page,1,1,1
627,old_page,1,1,1
628,old_page,1,1,1
629,old_page,0,1,1
630,new_page,0,1,0
631,old_page,0,1,1
632,new_page,0,1,0
633,old_page,0,1,1
634,old_page,0,1,1
635,old_page,0,1,1
636,old_page,1,1,1
637,old_page,0,1,1
638,new_page,0,1,0
639,new_page,0,1,0
640,old_page,0,1,1
641,new_page,0,1,0
642,old_page,0,1,1
643,new_page,0,1,0
644,new_page,1,1,0
645,new_page,0,1,0
646,new_page,0,1,0
647,new_page,1,1,0
648,old_page,1,1,1
649,new_page,1,1,0
650,old_page,1,1,1
651,new_page,0,1,0
652,old_page,0,1,1
653,new_page,0,1,0
654,new_page,1,1,0
655,old_page,0,1,1
656,new_page,1,1,0
657,new_page,0,1,0
658,new_page,0,1,0
659,old_page,0,1,1
660,old_page,0,1,1
661,new_page,0,1,0
662,new_page,0,1,0
663,new_page,0,1,0
664,new_page,0,1,0
665,new_page,0,1,0
666,new_page,1,1,0
667,old_page,0,1,1
668,new_page,0,1,0
669,old_page,0,1,1
670,new_page,0,1,0
671,new_page,0,1,0
672,new_page,1,1,0
673,new_page,1,1,0
674,old_page,0,1,1
675,old_page,0,1,1
676,new_page,0,1,0
677,old_page,0,1,1
678,old_page,0,1,1
679,old_page,1,1,1
680,old_page,1,1,1
681,old_page,0,1,1
682,new_page,0,1,0
683,new_page,0,1,0
684,old_page,1,1,1
685,new_page,0,1,0
686,old_page,0,1,1
687,old_page,0,1,1
688,new_page,0,1,0
689,new_page,0,1,0
690,new_page,0,1,0
691,old_page,0,1,1
692,old_page,0,1,1
693,new_page,0,1,0
694,old_page,0,1,1
695,new_page,0,1,0
696,old_page,1,1,1
697,old_page,1,1,1
698,new_page,0,1,0
699,new_page,1,1,0
700,new_page,0,1,0
701,new_page,0,1,0
702,new_page,0,1,0
703,new_page,1,1,0
704,old_page,0,1,1
705,new_page,1,1,0
706,old_page,1,1,1
707,old_page,0,1,1
708,old_page,0,1,1
709,new_page,0,1,0
710,old_page,1,1,1
711,old_page,0,1,1
712,new_page,1,1,0
713,old_page,0,1,1
714,new_page,0,1,0
715,old_page,1,1,1
716,new_page,0,1,0
717,old_page,0,1,1
718,new_page,0,1,0
719,old_page,1,1,1
720,old_page,1,1,1
721,new_page,0,1,0
722,old_page,1,1,1
723,new_page,1,1,0
724,old_page,0,1,1
725,new_page,0,1,0
726,new_page,1,1,0
727,old_page,0,1,1
728,old_page,0,1,1
729,new_page,0,1,0
730,old_page,1,1,1
731,old_page,0,1,1
732,old_page,0,1,1
733,new_page,0,1,0
734,old_page,0,1,1
735,new_page,1,1,0
736,new_page,1,1,0
737,old_page,0,1,1
738,new_page,0,1,0
739,old_page,0,1,1
740,new_page,1,1,0
741,old_page,1,1,1
742,new_page,0,1,0
743,old_page,0,1,1
744,old_page,0,1,1
745,old_page,1,1,1
746,new_page,1,1,0
747,old_page,1,1,1
748,new_page,1,1,0
749,old_page,0,1,1
750,old_page,0,1,1
751,new_page,0,1,0
752,old_page,0,1,1
753,old_page,0,1,1
754,new_page,0,1,0
755,old_page,1,1,1
756,new_page,0,1,0
757,new_page,0,1,0
758,new_page,1,1,0
759,new_page,1,1,0
760,old_page,0,1,1
761,old_page,1,1,1
762,old_page,0,1,1
763,new_page,0,1,0
764,old_page,0,1,1
765,new_page,0,1,0
766,old_page,0,1,1
767,new_page,1,1,0
768,old_page,0,1,1
769,new_page,0,1,0
770,old_page,0,1,1
771,new_page,0,1,0
772,old_page,0,1,1
773,old_page,0,1,1
774,old_page,0,1,1
775,new_page,1,1,0
776,new_page,0,1,0
777,new_page,0,1,0
778,new_page,0,1,0
779,old_page,0,1,1
780,old_page,0,1,1
781,new_page,0,1,0
782,new_page,0,1,0
783,new_page,0,1,0
784,new_page,0,1,0
785,old_page,1,1,1
786,new_page,0,1,0
787,new_page,0,1,0
788,new_page,0,1,0
789,old_page,1,1,1
790,old_page,0,1,1
791,new_page,0,1,0
792,new_page,0,1,0
793,old_page,1,1,1
794,old_page,1,1,1
795,old_page,0,1,1
796,new_page,0,1,0
797,old_page,0,1,1
798,new_page,1,1,0
799,new_page,1,1,0
800,old_page,0,1,1
801,old_page,0,1,1
802,new_page,0,1,0
803,old_page,1,1,1
804,old_page,0,1,1
805,old_page,0,1,1
806,new_page,0,1,0
807,new_page,0,1,0
808,new_page,0,1,0
809,old_page,1,1,1
810,old_page,0,1,1
811,old_page,0,1,1
812,new_page,1,1,0
813,new_page,0,1,0
814,old_page,0,1,1
815,old_page,0,1,1
816,old_page,0,1,1
817,new_page,0,1,0
818,old_page,0,1,1
819,old_page,1,1,1
820,new_page,1,1,0
821,old_page,0,1,1
822,old_page,0,1,1
823,new_page,1,1,0
824,old_page,0,1,1
825,new_page,0,1,0
826,old_page,1,1,1
827,new_page,1,1,0
828,old_page,1,1,1
829,new_page,0,1,0
830,old_page,0,1,1
831,old_page,1,1,1
832,new_page,1,1,0
833,old_page,0,1,1
834,old_page,0,1,1
835,new_page,0,1,0
836,old_page,0,1,1
837,new_page,0,1,0
838,old_page,0,1,1
839,old_page,1,1,1
840,new_page,0,1,0
841,old_page,0,1,1
842,old_page,0,1,1
843,old_page,0,1,1
844,old_page,0,1,1
845,old_page,1,1,1
846,new_page,0,1,0
847,new_page,1,1,0
848,new_page,0,1,0
849,new_page,0,1,0
850,new_page,0,1,0
851,old_page,0,1,1
852,old_page,0,1,1
853,old_page,0,1,1
854,new_page,0,1,0
855,new_page,0,1,0
856,old_page,1,1,1
857,old_page,0,1,1
858,new_page,0,1,0
859,new_page,0,1,0
860,old_page,1,1,1
861,old_page,0,1,1
862,new_page,1,1,0
863,old_page,0,1,1
864,new_page,0,1,0
865,old_page,0,1,1
866,old_page,0,1,1
867,new_page,0,1,0
868,new_page,1,1,0
869,new_page,1,1,0
870,old_page,0,1,1
871,old_page,1,1,1
872,old_page,0,1,1
873,new_page,0,1,0
874,new_page,0,1,0
875,old_page,0,1,1
876,old_page,1,1,1
877,new_page,1,1,0
878,new_page,1,1,0
879,new_page,1,1,0
880,old_page,0,1,1
881,old_page,1,1,1
882,old_page,0,1,1
883,new_page,0,1,0
884,old_page,0,1,1
885,new_page,1,1,0
886,old_page,0,1,1
887,old_page,1,1,1
888,old_page,0,1,1
889,old_page,0,1,1
890,old_page,0,1,1
891,new_page,0,1,0
892,new_page,1,1,0
893,new_page,0,1,0
894,old_page,0,1,1
895,new_page,1,1,0
896,new_page,1,1,0
897,new_page,0,1,0
898,old_page,0,1,1
899,old_page,1,1,1
900,old_page,0,1,1
901,new_page,1,1,0
902,new_page,0,1,0
903,new_page,0,1,0
904,old_page,0,1,1
905,old_page,0,1,1
906,old_page,1,1,1
907,old_page,0,1,1
908,old_page,1,1,1
909,old_page,0,1,1
910,new_page,1,1,0
911,new_page,0,1,0
912,old_page,1,1,1
913,new_page,0,1,0
914,old_page,0,1,1
915,old_page,1,1,1
916,old_page,1,1,1
917,old_page,0,1,1
918,new_page,0,1,0
919,new_page,0,1,0
920,new_page,1,1,0
921,old_page,0,1,1
922,new_page,0,1,0
923,new_page,0,1,0
924,new_page,0,1,0
925,new_page,0,1,0
926,old_page,0,1,1
927,new_page,0,1,0
928,old_page,0,1,1
929,new_page,0,1,0
930,new_page,0,1,0
931,new_page,1,1,0
932,old_page,0,1,1
933,old_page,1,1,1
934,old_page,0,1,1
935,old_page,1,1,1
936,new_page,0,1,0
937,old_page,0,1,1
938,new_page,0,1,0
939,new_page,0,1,0
940,new_page,0,1,0
941,old_page,0,1,1
942,old_page,0,1,1
943,new_page,0,1,0
944,new_page,0,1,0
945,new_page,0,1,0
946,old_page,0,1,1
947,old_page,1,1,1
948,old_page,0,1,1
949,old_page,0,1,1
950,new_page,0,1,0
951,old_page,0,1,1
952,new_page,1,1,0
953,old_page,0,1,1
954,old_page,1,1,1
955,old_page,0,1,1
956,new_page,1,1,0
957,new_page,0,1,0
958,new_page,0,1,0
959,new_page,1,1,0
960,new_page,0,1,0
961,old_page,0,1,1
962,old_page,0,1,1
963,old_page,1,1,1
964,old_page,0,1,1
965,old_page,0,1,1
966,old_page,1,1,1
967,old_page,0,1,1
968,new_page,0,1,0
969,old_page,0,1,1
970,new_page,1,1,0
971,new_page,0,1,0
972,new_page,1,1,0
973,new_page,0,1,0
974,new_page,1,1,0
975,old_page,0,1,1
976,new_page,1,1,0
977,new_page,0,1,0
978,old_page,1,1,1
979,old_page,0,1,1
980,old_page,0,1,1
981,new_page,1,1,0
982,old_page,1,1,1
983,old_page,1,1,1
984,new_page,0,1,0
985,new_page,1,1,0
986,new_page,0,1,0
987,old_page,0,1,1
988,new_page,1,1,0
989,old_page,0,1,1
990,new_page,0,1,0
991,new_page,0,1,0
992,new_page,0,1,0
993,new_page,1,1,0
994,new_page,0,1,0
995,new_page,0,1,0
996,new_page,0,1,0
997,new_page,0,1,0
998,new_page,0,1,0
999,new_page,0,1,0
1000,old_page,0,1,1
1001,new_page,0,1,0
1002,new_page,0,1,0
1003,new_page,1,1,0
1004,old_page,1,1,1
1005,old_page,0,1,1
1006,new_page,1,1,0
1007,old_page,1,1,1
1008,new_page,0,1,0
1009,new_page,0,1,0
1010,new_page,0,1,0
1011,old_page,1,1,1
1012,old_page,0,1,1
1013,old_page,0,1,1
1014,new_page,0,1,0
1015,new_page,0,1,0
1016,new_page,0,1,0
1017,old_page,1,1,1
1018,old_page,0,1,1
1019,new_page,0,1,0
1020,new_page,0,1,0
1021,old_page,0,1,1
1022,old_page,0,1,1
1023,new_page,0,1,0
1024,new_page,0,1,0
1025,new_page,1,1,0
1026,new_page,0,1,0
1027,old_page,0,1,1
1028,old_page,0,1,1
1029,new_page,1,1,0
1030,new_page,1,1,0
1031,old_page,0,1,1
1032,new_page,0,1,0
1033,new_page,0,1,0
1034,old_page,0,1,1
1035,old_page,1,1,1
1036,old_page,0,1,1
1037,old_page,1,1,1
1038,old_page,1,1,1
1039,new_page,0,1,0
1040,new_page,0,1,0
1041,new_page,0,1,0
1042,new_page,1,1,0
1043,old_page,0,1,1
1044,old_page,1,1,1
1045,old_page,0,1,1
1046,new_page,0,1,0
1047,old_page,0,1,1
1048,old_page,0,1,1
1049,old_page,1,1,1
1050,new_page,0,1,0
1051,old_page,0,1,1
1052,new_page,0,1,0
1053,old_page,1,1,1
1054,old_page,1,1,1
1055,old_page,0,1,1
1056,old_page,0,1,1
1057,new_page,0,1,0
1058,new_page,0,1,0
1059,old_page,1,1,1
1060,new_page,1,1,0
1061,old_page,0,1,1
1062,old_page,0,1,1
1063,new_page,1,1,0
1064,new_page,0,1,0
1065,new_page,0,1,0
1066,new_page,1,1,0
1067,new_page,1,1,0
1068,old_page,0,1,1
1069,old_page,1,1,1
1070,new_page,0,1,0
1071,new_page,0,1,0
1072,old_page,0,1,1
1073,new_page,1,1,0
1074,old_page,0,1,1
1075,old_page,0,1,1
1076,old_page,0,1,1
1077,new_page,0,1,0
1078,new_page,0,1,0
1079,new_page,0,1,0
1080,old_page,0,1,1
1081,old_page,0,1,1
1082,old_page,0,1,1
1083,old_page,0,1,1
1084,new_page,1,1,0
1085,new_page,0,1,0
1086,old_page,0,1,1
1087,old_page,0,1,1
1088,new_page,1,1,0
1089,old_page,1,1,1
1090,new_page,1,1,0
1091,old_page,1,1,1
1092,new_page,1,1,0
1093,new_page,0,1,0
1094,new_page,0,1,0
1095,new_page,0,1,0
1096,new_page,0,1,0
1097,new_page,0,1,0
1098,old_page,0,1,1
1099,new_page,0,1,0
1100,new_page,0,1,0
1101,new_page,1,1,0
1102,new_page,0,1,0
1103,new_page,0,1,0
1104,old_page,1,1,1
1105,new_page,0,1,0
1106,old_page,0,1,1
1107,old_page,0,1,1
1108,new_page,1,1,0
1109,old_page,1,1,1
1110,new_page,0,1,0
1111,old_page,0,1,1
1112,new_page,0,1,0
1113,new_page,0,1,0
1114,new_page,0,1,0
1115,new_page,0,1,0
1116,old_page,1,1,1
1117,new_page,0,1,0
1118,old_page,1,1,1
1119,new_page,0,1,0
1120,new_page,1,1,0
1121,new_page,1,1,0
1122,new_page,0,1,0
1123,old_page,1,1,1
1124,old_page,0,1,1
1125,old_page,0,1,1
1126,new_page,0,1,0
1127,new_page,0,1,0
1128,old_page,0,1,1
1129,new_page,0,1,0
1130,new_page,0,1,0
1131,old_page,1,1,1
1132,new_page,0,1,0
1133,new_page,0,1,0
1134,new_page,1,1,0
1135,new_page,0,1,0
1136,old_page,0,1,1
1137,new_page,0,1,0
1138,old_page,1,1,1
1139,new_page,0,1,0
1140,old_page,0,1,1
1141,old_page,1,1,1
1142,old_page,0,1,1
1143,new_page,0,1,0
1144,old_page,0,1,1
1145,old_page,1,1,1
1146,new_page,0,1,0
1147,old_page,0,1,1
1148,new_page,1,1,0
1149,old_page,1,1,1
1150,old_page,0,1,1
